10 training trials,,,,,
model,50,100,200,500,1000
1_down_1_up_simulation,"Mean=0.78, SD=0.03, Range=[0.75, 0.85], mean absolute difference=6.80","Mean=0.77, SD=0.02, Range=[0.74, 0.83], mean absolute difference=6.46","Mean=0.77, SD=0.02, Range=[0.75, 0.82], mean absolute difference=6.61","Mean=0.77, SD=0.02, Range=[0.75, 0.81], mean absolute difference=6.53","Mean=0.77, SD=0.02, Range=[0.75, 0.81], mean absolute difference=6.52"
3_down_1_up_adaptive_step_size_decreasing_threshold,"Mean=0.82, SD=0.07, Range=[0.55, 0.92], mean absolute difference=2.56","Mean=0.80, SD=0.06, Range=[0.56, 0.91], mean absolute difference=1.25","Mean=0.77, SD=0.10, Range=[0.51, 0.94], mean absolute difference=0.82","Mean=0.78, SD=0.10, Range=[0.52, 0.93], mean absolute difference=0.52","Mean=0.77, SD=0.10, Range=[0.50, 0.92], mean absolute difference=0.54"
3_down_1_up_simulation,"Mean=0.94, SD=0.03, Range=[0.88, 1.00], mean absolute difference=18.35","Mean=0.85, SD=0.02, Range=[0.82, 0.90], mean absolute difference=9.67","Mean=0.82, SD=0.01, Range=[0.79, 0.85], mean absolute difference=6.10","Mean=0.80, SD=0.01, Range=[0.79, 0.82], mean absolute difference=4.11","Mean=0.79, SD=0.01, Range=[0.78, 0.81], mean absolute difference=3.47"
quest_beta_0.1,"Mean=0.74, SD=0.05, Range=[0.62, 0.92], mean absolute difference=1.94","Mean=0.75, SD=0.02, Range=[0.71, 0.84], mean absolute difference=1.04","Mean=0.75, SD=0.01, Range=[0.72, 0.78], mean absolute difference=0.68","Mean=0.75, SD=0.00, Range=[0.74, 0.76], mean absolute difference=0.38","Mean=0.75, SD=0.00, Range=[0.74, 0.76], mean absolute difference=0.26"
quest_beta_1,"Mean=0.76, SD=0.04, Range=[0.65, 0.85], mean absolute difference=0.86","Mean=0.75, SD=0.03, Range=[0.70, 0.90], mean absolute difference=0.54","Mean=0.75, SD=0.02, Range=[0.71, 0.82], mean absolute difference=0.32","Mean=0.75, SD=0.01, Range=[0.73, 0.78], mean absolute difference=0.15","Mean=0.75, SD=0.01, Range=[0.73, 0.77], mean absolute difference=0.10"
quest_beta_5,"Mean=0.81, SD=0.06, Range=[0.68, 0.97], mean absolute difference=0.77","Mean=0.78, SD=0.05, Range=[0.68, 0.93], mean absolute difference=0.55","Mean=0.77, SD=0.04, Range=[0.67, 0.87], mean absolute difference=0.28","Mean=0.76, SD=0.03, Range=[0.72, 0.87], mean absolute difference=0.16","Mean=0.76, SD=0.02, Range=[0.71, 0.85], mean absolute difference=0.11"
quest_plus,"Mean=0.84, SD=0.04, Range=[0.75, 0.92], mean absolute difference=0.99","Mean=0.84, SD=0.04, Range=[0.74, 0.93], mean absolute difference=0.88","Mean=0.88, SD=0.05, Range=[0.75, 0.96], mean absolute difference=0.84","Mean=0.90, SD=0.06, Range=[0.72, 0.98], mean absolute difference=0.85","Mean=0.92, SD=0.05, Range=[0.77, 0.99], mean absolute difference=0.86"
,,,,,
,,,,,
